strategy,covariate,eligible_mean,uncensored_unweighted_mean,uncensored_weighted_mean,smd_unweighted_vs_eligible,smd_weighted_vs_eligible,n_uncensored,n_eligible
early_48,anchor_age,59.511501909583444,63.14305140059832,60.35044286800732,0.1972887593169846,0.04557658411021519,3677,11259
early_48,female,0.43147704058975045,0.4430242045145499,0.43188280570073717,0.023313270032450536,0.0008192238080092058,3677,11259
early_48,vaso_t0,0.39728217426059154,0.4781071525700299,0.42630424262262123,0.16516565794241783,0.05930653018566548,3677,11259
early_48,unit_micu,0.2811084465760725,0.3130269241229263,0.2957501210290636,0.07099932872719426,0.0325688797681062,3677,11259
early_48,unit_sicu,0.6752819966249223,0.6140875713897199,0.6664112399223687,-0.13067629210177625,-0.01894286268024042,3677,11259
early_48,unit_neuro,0.07656097344346745,0.11966276856132717,0.07888127166825701,0.16209448353257222,0.008726029655153818,3677,11259
early_48,race_black,0.08544275690558664,0.08893119390807723,0.07890236064338914,0.012478676434167576,-0.023396004757698614,3677,11259
early_48,race_hispanic,0.03543831601385558,0.029643731302692412,0.03489353277889571,-0.03134018007132755,-0.0029464759831003416,3677,11259
early_48,race_asian,0.028332889244160227,0.03045961381561055,0.030522995387048467,0.012817041130563261,0.013199020169572296,3677,11259
early_48,race_other,0.2937205790922817,0.33288006527060104,0.3031699462174595,0.08597303002817823,0.020745694156987477,3677,11259
early_48,admission_elective,0.07416289190869527,0.03589883056839815,0.06711902491555104,-0.14601960076955683,-0.026880122239653314,3677,11259
early_48,admission_emergency,0.8175681676880717,0.8642915420179494,0.8254024071975871,0.1209769456075422,0.02028454452642217,3677,11259
early_48,charlson_conditions,2.5096367350563993,2.7568670111503946,2.6226921080183776,0.10302085720660742,0.04711017444290512,3677,11259
early_48,dx_digestive,0.10533795186073364,0.05221648082676095,0.10120713748604242,-0.17303297038603022,-0.013455332984077563,3677,11259
early_48,sofa_resp,1.2374988897770673,1.3709545825401142,1.2951216829894903,0.08428221073604554,0.03639092720721887,3677,11259
early_48,sofa_resp_miss,0.4965805133670841,0.503943432145771,0.4887257833977259,0.014725527956299465,-0.01570912965762681,3677,11259
early_48,sofa_coag,0.32862598809841015,0.3426706554256187,0.3615760055392563,0.01895285470936075,0.04446505415029873,3677,11259
early_48,sofa_coag_miss,0.37747579714006574,0.3984226271416916,0.3743755109575027,0.043209211861454544,-0.006395283796312297,3677,11259
early_48,sofa_liver,0.24193978150812684,0.24449279303780255,0.2939787206854728,0.0034185322175140495,0.06968115422714441,3677,11259
early_48,sofa_liver_miss,0.6714628297362111,0.65352189284743,0.6604135785853145,-0.038196413552032044,-0.023523953571445124,3677,11259
early_48,sofa_cardio,1.3760547117861266,1.5817242317106337,1.4510594497368436,0.1505459543262982,0.05490196047488865,3677,11259
early_48,sofa_cns,2.4815702993161026,2.601305412020669,2.529500844844655,0.08129302869443561,0.03254199311280203,3677,11259
early_48,sofa_cns_miss,0.16795452526867394,0.1759586619526788,0.1728892841131767,0.02141045134643586,0.013200101187396958,3677,11259
early_48,sofa_renal,2.3548272493116618,2.286102801196628,2.374796862097086,-0.040327205008302294,0.011718081277076874,3677,11259
early_48,sofa_renal_miss,0.10569322319921841,0.11558335599673647,0.10126757105953128,0.03216740326681852,-0.01439432007745132,3677,11259
early_48,lactate_filled,1.6770849986677328,1.9359505031275497,1.9576535645590338,0.09293492382002903,0.10072650796719175,3677,11259
early_48,lactate_missing,0.5151434408029132,0.5295077508838727,0.5033044358366284,0.028740529125622742,-0.023687825251205576,3677,11259
delayed_96,anchor_age,59.511501909583444,58.474747474747474,59.69797993651071,-0.05632306448562521,0.01013066699583343,7326,11259
delayed_96,female,0.43147704058975045,0.4306579306579307,0.4324997569006232,-0.001653750752231414,0.002064824027548584,7326,11259
delayed_96,vaso_t0,0.39728217426059154,0.37865137865137866,0.3980291244775327,-0.038071988129776184,0.0015263910564750638,7326,11259
delayed_96,unit_micu,0.2811084465760725,0.27054327054327054,0.2826105832174751,-0.023501133633722363,0.0033413464987343045,7326,11259
delayed_96,unit_sicu,0.6752819966249223,0.7091182091182091,0.6729773935333424,0.07225479723677479,-0.00492131408402715,7326,11259
delayed_96,unit_neuro,0.07656097344346745,0.05268905268905269,0.07971848902943725,-0.08977599784501732,0.011874583338217976,7326,11259
delayed_96,race_black,0.08544275690558664,0.08067158067158067,0.08414279868614061,-0.01706723222808474,-0.004650150765750411,7326,11259
delayed_96,race_hispanic,0.03543831601385558,0.036855036855036855,0.03594133678325858,0.007662375905539419,0.0027206024725701557,7326,11259
delayed_96,race_asian,0.028332889244160227,0.030303030303030304,0.028948468134009146,0.011873365890219154,0.0037098832901147744,7326,11259
delayed_96,race_other,0.2937205790922817,0.28323778323778326,0.29264809715754675,-0.02301454413048528,-0.002354589668510445,7326,11259
delayed_96,admission_elective,0.07416289190869527,0.08913458913458913,0.07362521135849373,0.05713353928442998,-0.0020518443816966315,7326,11259
delayed_96,admission_emergency,0.8175681676880717,0.7942942942942943,0.8182500728547807,-0.06026110391250933,0.0017656003113135615,7326,11259
delayed_96,charlson_conditions,2.5096367350563993,2.384657384657385,2.5418477823633174,-0.05207889589678025,0.013422343563697087,7326,11259
delayed_96,dx_digestive,0.10533795186073364,0.13377013377013378,0.10325114494301868,0.09261236171703843,-0.006797371996031698,7326,11259
delayed_96,sofa_resp,1.2374988897770673,1.1875511875511875,1.2371156674743045,-0.03154382310432621,-0.00024201907173462773,7326,11259
delayed_96,sofa_resp_miss,0.4965805133670841,0.49535899535899536,0.4959651932212853,-0.0024429846529478794,-0.001230614418192769,7326,11259
delayed_96,sofa_coag,0.32862598809841015,0.346983346983347,0.33010635559047663,0.024772701815426502,0.001997711255092667,7326,11259
delayed_96,sofa_coag_miss,0.37747579714006574,0.36814086814086816,0.3778914585410087,-0.019256132064214806,0.0008574281423288963,7326,11259
delayed_96,sofa_liver,0.24193978150812684,0.25812175812175814,0.24702089731204574,0.021667982206012255,0.006803713134355845,7326,11259
