strategy,covariate,eligible_mean,uncensored_unweighted_mean,uncensored_weighted_mean,smd_unweighted_vs_eligible,smd_weighted_vs_eligible,n_uncensored,n_eligible
early_48,anchor_age,59.511501909583444,63.14305140059832,60.362182423441396,0.1972887593169846,0.046214351083308146,3677,11259
early_48,female,0.43147704058975045,0.4430242045145499,0.4312169231522126,0.023313270032450536,-0.0005251668808862227,3677,11259
early_48,vaso_t0,0.39728217426059154,0.4781071525700299,0.42610839739894474,0.16516565794241783,0.05890632091991637,3677,11259
early_48,unit_micu,0.2811084465760725,0.3130269241229263,0.29261812641794627,0.07099932872719426,0.025602083979049513,3677,11259
early_48,unit_sicu,0.6752819966249223,0.6140875713897199,0.6693353115981802,-0.13067629210177625,-0.012698718005848464,3677,11259
early_48,unit_neuro,0.07656097344346745,0.11966276856132717,0.07933747158147846,0.16209448353257222,0.010441677208092833,3677,11259
early_48,race_black,0.08544275690558664,0.08893119390807723,0.07767984961238546,0.012478676434167576,-0.02776911500225912,3677,11259
early_48,race_hispanic,0.03543831601385558,0.029643731302692412,0.0355118791107713,-0.03134018007132755,0.00039786815084463757,3677,11259
early_48,race_asian,0.028332889244160227,0.03045961381561055,0.029932771342994862,0.012817041130563261,0.009641941857488134,3677,11259
early_48,race_other,0.2937205790922817,0.33288006527060104,0.2990379563945907,0.08597303002817823,0.01167408163633322,3677,11259
early_48,admission_elective,0.07416289190869527,0.03589883056839815,0.06870703613249421,-0.14601960076955683,-0.020820107808529165,3677,11259
early_48,admission_emergency,0.8175681676880717,0.8642915420179494,0.8209361433534823,0.1209769456075422,0.008720419163334178,3677,11259
early_48,charlson_conditions,2.5096367350563993,2.7568670111503946,2.619579940568202,0.10302085720660742,0.04581333425183682,3677,11259
early_48,dx_digestive,0.10533795186073364,0.05221648082676095,0.10620056870757434,-0.17303297038603022,0.0028098083959011933,3677,11259
early_48,sofa_t0,1.1096012079225508,1.139515909709002,1.1653886063333745,0.015456445490975041,0.02882445189578128,3677,11259
early_48,sofa_missing,0.9910293987032596,0.9907533315202611,0.9894659926602413,-0.0029278002936876666,-0.01658053167416102,3677,11259
delayed_96,anchor_age,59.511501909583444,58.474747474747474,59.73017496746246,-0.05632306448562521,0.011879704900550831,7326,11259
delayed_96,female,0.43147704058975045,0.4306579306579307,0.43217219726280104,-0.001653750752231414,0.001403493995515425,7326,11259
delayed_96,vaso_t0,0.39728217426059154,0.37865137865137866,0.39761040665888353,-0.038071988129776184,0.0006707421536738512,7326,11259
delayed_96,unit_micu,0.2811084465760725,0.27054327054327054,0.28218428072709406,-0.023501133633722363,0.002393081011843319,7326,11259
delayed_96,unit_sicu,0.6752819966249223,0.7091182091182091,0.6731108347177055,0.07225479723677479,-0.004636360036020056,7326,11259
delayed_96,unit_neuro,0.07656097344346745,0.05268905268905269,0.07963800504082907,-0.08977599784501732,0.011571904284354681,7326,11259
delayed_96,race_black,0.08544275690558664,0.08067158067158067,0.08443411357255173,-0.01706723222808474,-0.003608072549808619,7326,11259
delayed_96,race_hispanic,0.03543831601385558,0.036855036855036855,0.03590890296139414,0.007662375905539419,0.002545183202976121,7326,11259
delayed_96,race_asian,0.028332889244160227,0.030303030303030304,0.028979286400171885,0.011873365890219154,0.0038956144328697144,7326,11259
delayed_96,race_other,0.2937205790922817,0.28323778323778326,0.2932448931509049,-0.02301454413048528,-0.001044348782712404,7326,11259
delayed_96,admission_elective,0.07416289190869527,0.08913458913458913,0.07379080179541653,0.05713353928442998,-0.0014199342121073125,7326,11259
delayed_96,admission_emergency,0.8175681676880717,0.7942942942942943,0.8177902354146243,-0.06026110391250933,0.0005749814875668597,7326,11259
delayed_96,charlson_conditions,2.5096367350563993,2.384657384657385,2.5411552285945906,-0.05207889589678025,0.013133756405024115,7326,11259
delayed_96,dx_digestive,0.10533795186073364,0.13377013377013378,0.10317814355319312,0.09261236171703843,-0.007035159976634636,7326,11259
delayed_96,sofa_t0,1.1096012079225508,1.147147147147147,1.0994128624014006,0.019399383192088938,-0.005264154338392945,7326,11259
delayed_96,sofa_missing,0.9910293987032596,0.9911274911274911,0.9908019879366929,0.0010403084689542374,-0.0024117799946735013,7326,11259
